Id,Label,degree,weighted degree,modularity_class,主体类型,领域方向,功能定位
广东党建订阅号,广东党建订阅号,368,386,1,其他,党建理论,
武大马院,武大马院,446,474,1,其他,其他,
泰安主题党日活动中心,泰安主题党日活动中心,414,463,1,其他,党建理论,
人文杂志,人文杂志,486,605,2,媒体平台,学术研究,
哲学动态杂志,哲学动态杂志,463,640,2,媒体平台,学术研究,学术研究
中国人民大学文学院,中国人民大学文学院,328,332,1,高校/学术机构,学术研究,
兰山公安,兰山公安,362,367,1,其他,其他,
我是北安,我是北安,302,310,1,其他,其他,
中共蒙自市委党校,中共蒙自市委党校,302,310,1,政府机构,其他,
浙江组工,浙江组工,360,369,1,其他,地方政务,
中共芒市委党校芒市行政学校,中共芒市委党校芒市行政学校,325,335,1,政府机构,基础教育,教育
现代远程教育研究,现代远程教育研究,483,809,2,高校/学术机构,学术研究,学术研究
义诌,义诌,350,422,1,其他,其他,
江淮论坛杂志社,江淮论坛杂志社,459,610,2,媒体平台,学术研究,
人类学与民族学之夏,人类学与民族学之夏,659,1297,2,其他,学术研究,
政治学评介,政治学评介,559,1148,2,自媒体/个人,学术研究,
广东生态环境,广东生态环境,317,322,1,其他,地方政务,
网络思政研究,网络思政研究,578,1232,2,高校/学术机构,学术研究,学术研究
郑州轻工业大学马克思主义学院,郑州轻工业大学马克思主义学院,352,355,1,高校/学术机构,学术研究,
齐齐哈尔老干部,齐齐哈尔老干部,322,328,1,其他,党建理论,
现代哲学杂志,现代哲学杂志,380,466,2,媒体平台,学术研究,学术研究
人大国发院,人大国发院,401,429,1,政府机构,其他,
武汉统战,武汉统战,317,319,1,其他,党建理论,
健促网,健促网,501,555,1,媒体平台,其他,
艺见集,艺见集,700,1347,2,其他,其他,
甘肃日报,甘肃日报,379,391,5,媒体平台,社会民生,
英雄达茂,英雄达茂,303,305,1,其他,其他,
困在岸边,困在岸边,381,584,2,其他,其他,
晋中招商,晋中招商,297,305,1,其他,地方政务,
南海先锋,南海先锋,341,351,1,其他,党建理论,
鹏腾工作室,鹏腾工作室,364,497,2,自媒体/个人,其他,
马道功成,马道功成,272,276,1,其他,其他,
新吴慧生活,新吴慧生活,280,285,1,自媒体/个人,其他,
人民日报国际,人民日报国际,345,400,1,媒体平台,社会民生,
内蒙古大学,内蒙古大学,331,335,1,高校/学术机构,学术研究,
古文字微刊,古文字微刊,780,3938,2,媒体平台,传统文化,
中韩示范区,中韩示范区,373,388,1,其他,其他,
图们廉政之声,图们廉政之声,297,335,1,其他,其他,
云大马院,云大马院,296,307,1,其他,其他,
复旦大学中国研究院,复旦大学中国研究院,341,374,1,高校/学术机构,学术研究,学术研究
粥冻鱼,粥冻鱼,384,659,2,其他,其他,
国研网,国研网,318,322,1,媒体平台,其他,
包头青山区教育局,包头青山区教育局,295,300,1,政府机构,基础教育,教育
民勤统一战线,民勤统一战线,379,383,1,其他,其他,
天津台联天津黄埔,天津台联天津黄埔,289,291,1,其他,地方政务,
北京日报,北京日报,458,505,1,媒体平台,社会民生,
青春黔言,青春黔言,341,356,1,其他,其他,
红红的小花辅导员工作室,红红的小花辅导员工作室,325,331,1,自媒体/个人,其他,
世界社会科学,世界社会科学,310,354,1,高校/学术机构,其他,学术研究
史志嘉峪关,史志嘉峪关,302,311,1,其他,地方政务,
酒泉农机,酒泉农机,308,311,3,其他,地方政务,
中国铁路,中国铁路,354,368,6,其他,其他,
卫生健康党建文化平台,卫生健康党建文化平台,340,341,1,媒体平台,党建理论,文化传播
微言宗教,微言宗教,309,313,1,其他,其他,
许昌市总工会,许昌市总工会,301,309,1,其他,地方政务,
芜湖镜湖城事,芜湖镜湖城事,351,375,1,其他,地方政务,
文案汪汪,文案汪汪,329,379,2,其他,其他,
武大社科动态,武大社科动态,330,352,1,高校/学术机构,学术研究,学术研究
文学人类学,文学人类学,368,411,2,高校/学术机构,学术研究,
江苏统一战线,江苏统一战线,382,396,1,其他,地方政务,
海上风清,海上风清,365,375,6,其他,其他,
文明天津,文明天津,501,529,1,其他,文旅国资,
一只传播学咸鱼,一只传播学咸鱼,746,2940,2,其他,学术研究,文化传播
学习贯彻习近平新时代中国特色社会主义思想主题教育,学习贯彻习近平新时代中国特色社会主义思想主题教育,282,288,1,自媒体/个人,基础教育,教育
中华经典诵读工程,中华经典诵读工程,321,321,1,其他,传统文化,
江南论坛杂志社,江南论坛杂志社,285,343,1,媒体平台,学术研究,
关注铁力,关注铁力,317,324,1,其他,其他,
腾飞大岭,腾飞大岭,308,309,1,其他,其他,
全联旅游业商会,全联旅游业商会,275,277,1,其他,文旅国资,
西南民族大学学报人文社会科学版,西南民族大学学报人文社会科学版,549,824,2,高校/学术机构,学术研究,学术研究
NKU中国政府发展联合研究中心,NKU中国政府发展联合研究中心,335,414,2,政府机构,学术研究,学术研究
西藏政法,西藏政法,330,346,1,政府机构,地方政务,
辽源政法,辽源政法,338,402,1,政府机构,地方政务,
中共绍兴市委党校,中共绍兴市委党校,332,347,1,政府机构,地方政务,
乾元国学,乾元国学,284,295,7,其他,传统文化,文化传播
哈尔滨商业大学,哈尔滨商业大学,325,326,1,高校/学术机构,学术研究,
清廉宁夏,清廉宁夏,352,358,1,政府机构,党建理论,
二十五团零距离,二十五团零距离,362,436,1,其他,其他,
华东师范大学学报哲学社会科学版,华东师范大学学报哲学社会科学版,547,811,2,高校/学术机构,学术研究,学术研究
珞珈马小研,珞珈马小研,301,307,1,其他,其他,
陕西党建网,陕西党建网,342,356,1,媒体平台,党建理论,
刑稳致远技而有为,刑稳致远技而有为,274,282,1,其他,其他,
央视一套,央视一套,347,351,1,其他,其他,
江苏展鸿公务员考试网,江苏展鸿公务员考试网,308,369,1,媒体平台,地方政务,
学习与探索,学习与探索,449,561,2,其他,其他,
廉正长汀,廉正长汀,277,280,1,其他,其他,
北大法宝,北大法宝,349,502,2,其他,其他,
江苏大学学报社会科学版,江苏大学学报社会科学版,306,312,2,高校/学术机构,学术研究,学术研究
吐鲁番零距离,吐鲁番零距离,310,312,1,其他,地方政务,
天津市农村社会事业发展服务中心,天津市农村社会事业发展服务中心,310,311,1,自媒体/个人,社会民生,政务服务
哲学研究,哲学研究,525,1014,2,高校/学术机构,学术研究,学术研究
人类学乾坤,人类学乾坤,364,413,2,其他,学术研究,
阅读精品,阅读精品,316,344,7,其他,其他,
白山市交通投资集团有限公司,白山市交通投资集团有限公司,310,311,1,其他,社会民生,
昌宁县人民法院,昌宁县人民法院,300,305,1,政府机构,其他,
金沙发布,金沙发布,305,311,3,政府机构,其他,
机关青年,机关青年,309,312,1,政府机构,党建理论,
内蒙古军民融合,内蒙古军民融合,285,292,1,其他,地方政务,
毛研究杂志,毛研究杂志,257,258,1,高校/学术机构,学术研究,学术研究
郑州铁检,郑州铁检,303,304,1,其他,地方政务,
法治长乐,法治长乐,332,399,1,其他,其他,
金融时报,金融时报,325,353,1,媒体平台,社会民生,
浙江大学国家制度研究院,浙江大学国家制度研究院,294,309,1,高校/学术机构,学术研究,学术研究
瞭望智库,瞭望智库,388,423,1,其他,学术研究,
深圳教育,深圳教育,307,307,3,其他,基础教育,教育
云南共青团,云南共青团,327,339,1,其他,党建理论,
平顶山共青团,平顶山共青团,359,367,1,其他,党建理论,
吉林杨靖宇干部学院,吉林杨靖宇干部学院,342,352,1,高校/学术机构,学术研究,
深大社科学报,深大社科学报,447,601,2,高校/学术机构,学术研究,学术研究
柳园清风,柳园清风,295,309,1,政府机构,党建理论,
驼乡发布,驼乡发布,293,295,1,政府机构,其他,
研背包马理论考研,研背包马理论考研,291,302,1,其他,学术研究,教育
龙亭政法,龙亭政法,417,488,1,政府机构,其他,
天津党校期刊部,天津党校期刊部,298,300,2,媒体平台,学术研究,
陕西科技大学马克思主义学院,陕西科技大学马克思主义学院,250,251,1,高校/学术机构,学术研究,
娄底史志,娄底史志,265,268,1,其他,地方政务,
平安安阳县,平安安阳县,265,268,1,其他,地方政务,
邯郸共青团,邯郸共青团,324,336,1,其他,党建理论,
四史与马院,四史与马院,491,1434,2,其他,其他,
柳州教育,柳州教育,380,387,1,其他,基础教育,教育
政治与法律编辑部,政治与法律编辑部,664,1692,2,其他,其他,
公共管理资料小屋,公共管理资料小屋,392,439,2,其他,其他,
精彩魏都,精彩魏都,300,301,3,其他,其他,
火箭军指挥学院,火箭军指挥学院,282,285,3,高校/学术机构,学术研究,
公廉烟台,公廉烟台,308,313,1,其他,地方政务,
行唐发布,行唐发布,343,349,1,政府机构,其他,
济宁发布,济宁发布,383,390,6,政府机构,地方政务,
宝鸡市张载文化研究会,宝鸡市张载文化研究会,260,271,7,高校/学术机构,学术研究,学术研究
绿色有机北安垦区,绿色有机北安垦区,284,290,3,其他,其他,
秦皇岛市纪委监委网站,秦皇岛市纪委监委网站,277,279,7,政府机构,地方政务,
清风鹤壁,清风鹤壁,277,279,7,政府机构,党建理论,
中共高平市委党校,中共高平市委党校,249,249,1,政府机构,其他,
焉耆零距离,焉耆零距离,249,249,1,其他,其他,
城市规划,城市规划,520,859,2,其他,其他,
江苏律协,江苏律协,304,321,1,其他,地方政务,
北京武警,北京武警,340,359,1,其他,地方政务,
长武融媒,长武融媒,247,247,1,其他,其他,
浙江工商大学,浙江工商大学,295,304,1,高校/学术机构,学术研究,
南开大学经济学院,南开大学经济学院,451,525,2,高校/学术机构,学术研究,
天津市工商联,天津市工商联,383,385,1,其他,地方政务,
全国总工会,全国总工会,320,329,1,其他,其他,
国宏高端智库,国宏高端智库,255,316,1,其他,学术研究,
首都医科大学宣武医院,首都医科大学宣武医院,247,247,1,高校/学术机构,学术研究,
赣鄱老干部微讯,赣鄱老干部微讯,267,267,1,其他,党建理论,
南大机关,南大机关,311,312,1,政府机构,其他,
自然辩证法通讯,自然辩证法通讯,364,727,2,其他,其他,
忠诚号,忠诚号,271,277,1,其他,其他,
火红的党旗,火红的党旗,361,368,6,其他,其他,
内蒙古民政,内蒙古民政,358,399,8,其他,地方政务,
扬州大学文学院,扬州大学文学院,248,249,7,高校/学术机构,学术研究,
红寺堡视线,红寺堡视线,540,577,1,其他,其他,
北京卫生财经,北京卫生财经,273,273,7,其他,地方政务,
汕尾发布,汕尾发布,246,246,1,政府机构,地方政务,
湖南卫视新闻联播,湖南卫视新闻联播,246,246,1,媒体平台,社会民生,
中小企业国际合作交流平台,中小企业国际合作交流平台,246,246,1,媒体平台,其他,资源整合
嫩江法院,嫩江法院,246,246,1,政府机构,其他,
杭州东部软件园,杭州东部软件园,246,246,1,其他,地方政务,
三门峡广播电视台,三门峡广播电视台,246,246,1,其他,社会民生,
吴桥微在线,吴桥微在线,246,246,1,其他,其他,
美丽东丽美丽城市,美丽东丽美丽城市,246,246,1,其他,其他,
黄河口先锋,黄河口先锋,246,246,1,其他,党建理论,
青春宁职NXTC,青春宁职NXTC,246,246,1,其他,其他,
延边妇幼保健院,延边妇幼保健院,246,246,1,其他,其他,
珠晖融媒,珠晖融媒,246,246,1,其他,其他,
苏州卫生职业技术学院,苏州卫生职业技术学院,246,246,1,高校/学术机构,学术研究,
开行机关党建,开行机关党建,246,246,1,政府机构,党建理论,
微红岗,微红岗,246,246,1,其他,其他,
青春托克逊,青春托克逊,246,246,1,其他,其他,
阜新党建,阜新党建,246,246,1,其他,党建理论,
登封发布,登封发布,246,246,1,政府机构,其他,
延安大学圣地红网,延安大学圣地红网,246,246,1,高校/学术机构,学术研究,
华亭公安,华亭公安,246,246,1,其他,其他,
贞丰新闻,贞丰新闻,246,246,1,媒体平台,社会民生,
梵净德旺户外天堂,梵净德旺户外天堂,246,246,1,自媒体/个人,其他,
临江市苇沙河镇,临江市苇沙河镇,246,246,1,其他,其他,
YCU外语系,YCU外语系,246,246,1,其他,其他,
呈贡女声,呈贡女声,246,246,1,其他,其他,
西部矿业集团,西部矿业集团,246,246,1,其他,其他,
海南省妇联,海南省妇联,246,246,1,政府机构,地方政务,政务服务
神湾发布,神湾发布,246,246,1,政府机构,其他,
美丽青山,美丽青山,246,246,1,其他,其他,
北方微电子研究院,北方微电子研究院,246,246,1,高校/学术机构,学术研究,学术研究
土楼清风,土楼清风,246,246,1,政府机构,党建理论,
筑梦金晖,筑梦金晖,246,246,1,其他,其他,
电子科大科园教育中心,电子科大科园教育中心,246,246,1,其他,基础教育,教育
阜阳先锋网,阜阳先锋网,246,246,1,媒体平台,党建理论,
云南省青年联合会,云南省青年联合会,246,246,1,其他,党建理论,
新乡环境,新乡环境,246,246,1,其他,地方政务,
博罗电台,博罗电台,246,246,1,其他,其他,
红寺堡公安,红寺堡公安,246,246,1,其他,其他,
揭阳生态环境,揭阳生态环境,246,246,1,其他,地方政务,
阳光小镇快乐之坊,阳光小镇快乐之坊,246,246,1,自媒体/个人,其他,
甘肃省酒泉监狱,甘肃省酒泉监狱,246,246,1,其他,地方政务,
长葛组织工作,长葛组织工作,246,246,1,其他,党建理论,
信创咨询,信创咨询,246,246,1,其他,其他,
渭南高新,渭南高新,246,246,1,其他,地方政务,
湖南交通职业技术学院,湖南交通职业技术学院,246,246,1,高校/学术机构,学术研究,
南京江北新区公建中心,南京江北新区公建中心,246,246,1,其他,地方政务,
云南农垦,云南农垦,246,246,1,其他,地方政务,
非关癖爱轻模样,非关癖爱轻模样,246,246,1,其他,其他,
天津体育学院,天津体育学院,246,246,1,高校/学术机构,学术研究,
西宁女性,西宁女性,246,246,1,其他,地方政务,
邢台机关党建订阅号,邢台机关党建订阅号,246,246,1,政府机构,党建理论,
石楼融媒,石楼融媒,246,246,1,其他,其他,
时评精选,时评精选,246,246,1,自媒体/个人,其他,
榆阳党建,榆阳党建,246,246,1,其他,党建理论,
南京工程学院党委学生工作部,南京工程学院党委学生工作部,246,246,1,政府机构,学术研究,
阳泉农工,阳泉农工,246,246,1,其他,地方政务,
湛江机关党建,湛江机关党建,246,246,1,政府机构,党建理论,
安源国家森林公园,安源国家森林公园,246,246,1,其他,其他,
上蔡公安,上蔡公安,246,246,1,其他,其他,
福建离退休干部,福建离退休干部,246,246,1,其他,党建理论,
永靖党建,永靖党建,246,246,1,其他,党建理论,
海淀老干部,海淀老干部,246,246,1,其他,党建理论,
襄垣先锋,襄垣先锋,246,246,1,其他,党建理论,
大鹏先锋,大鹏先锋,246,246,1,其他,党建理论,
广州市南沙第一中学教育集团,广州市南沙第一中学教育集团,246,246,1,其他,基础教育,教育
德润鸡冠,德润鸡冠,246,246,1,其他,其他,
中盐辽宁,中盐辽宁,246,246,1,其他,地方政务,
中外名家,中外名家,246,246,1,其他,其他,
南朗发布,南朗发布,246,246,1,政府机构,其他,
新乐融媒,新乐融媒,246,246,1,其他,其他,
马江龙,马江龙,246,246,1,其他,其他,
贵阳农工,贵阳农工,246,246,1,其他,地方政务,
甘肃省甘谷监狱,甘肃省甘谷监狱,246,246,1,其他,地方政务,
垦利人大,垦利人大,246,246,1,政府机构,其他,
银川军休,银川军休,246,246,1,其他,地方政务,
洛川党建,洛川党建,246,246,1,其他,党建理论,
吉林建筑大学应急科学与工程学院,吉林建筑大学应急科学与工程学院,247,247,1,高校/学术机构,学术研究,
安化党建,安化党建,246,246,1,其他,党建理论,
内师心理青春派,内师心理青春派,246,246,1,其他,其他,
珠海机关党建,珠海机关党建,246,246,1,政府机构,党建理论,
张家口市邮政管理局,张家口市邮政管理局,246,246,1,政府机构,地方政务,政务服务
广州市荔湾区骨伤科医院服务号,广州市荔湾区骨伤科医院服务号,246,246,1,其他,社会民生,政务服务
社科同文馆ATS,社科同文馆ATS,246,246,1,高校/学术机构,学术研究,学术研究
清风龙岩,清风龙岩,246,246,1,政府机构,党建理论,
临夏市机关党建,临夏市机关党建,246,246,1,政府机构,党建理论,
洛理马院,洛理马院,246,246,1,其他,其他,
西安机关党建,西安机关党建,246,246,1,政府机构,党建理论,
苏龙热电热网先锋,苏龙热电热网先锋,246,246,1,媒体平台,党建理论,
题组反思网络教研,题组反思网络教研,246,246,1,媒体平台,其他,
伊春市直机关党建,伊春市直机关党建,246,246,1,政府机构,党建理论,
史志河津,史志河津,246,246,1,其他,其他,
江苏自然资源智库,江苏自然资源智库,246,246,1,其他,学术研究,资源整合
东东申论,东东申论,246,246,1,其他,其他,
大同市图书馆,大同市图书馆,246,246,1,其他,文旅国资,
开封市发展投资集团有限公司,开封市发展投资集团有限公司,246,246,1,其他,地方政务,
阳城普法,阳城普法,246,246,1,其他,其他,
西宁市城北区人民法院,西宁市城北区人民法院,246,246,1,政府机构,地方政务,
雪域清廉,雪域清廉,246,246,1,政府机构,党建理论,
八角楼上,八角楼上,246,246,1,其他,其他,
丽水城投,丽水城投,246,246,1,其他,地方政务,
高中语文学习站,高中语文学习站,246,246,1,其他,学术研究,
山东港口日照港岚山公司,山东港口日照港岚山公司,246,246,1,其他,地方政务,
南通州党校,南通州党校,246,246,1,其他,地方政务,
郑州公交集团第五运营公司,郑州公交集团第五运营公司,246,246,1,其他,地方政务,
红河谷先锋,红河谷先锋,246,246,1,其他,党建理论,
临县融媒体中心,临县融媒体中心,246,246,1,其他,其他,
青海教育,青海教育,246,246,1,其他,基础教育,教育
宁夏大学励行书院,宁夏大学励行书院,246,246,1,高校/学术机构,学术研究,
星海音乐学院国乐系,星海音乐学院国乐系,246,246,1,高校/学术机构,学术研究,
天津市润宁水务有限公司,天津市润宁水务有限公司,246,246,1,其他,地方政务,
宁波科技装备,宁波科技装备,246,246,1,其他,地方政务,
百年强国梦,百年强国梦,246,246,1,其他,其他,
挺进号官微,挺进号官微,246,246,1,其他,其他,
东方马院,东方马院,246,246,1,其他,地方政务,
武都社会工作,武都社会工作,246,246,1,自媒体/个人,其他,
史客儿,史客儿,246,246,1,其他,其他,
霍山工会,霍山工会,246,246,1,其他,其他,
石家庄人民医专护理学院,石家庄人民医专护理学院,246,246,1,高校/学术机构,学术研究,
娄烦县教育科技局,娄烦县教育科技局,246,246,1,政府机构,基础教育,教育
桂林力源集团党建,桂林力源集团党建,246,246,1,其他,党建理论,
陕北红友wangwenge,陕北红友wangwenge,246,246,1,其他,其他,
进贤检察,进贤检察,303,350,1,其他,其他,
国防科大,国防科大,412,460,1,其他,其他,
艺术评论杂志,艺术评论杂志,457,525,2,媒体平台,其他,
易门发布,易门发布,310,320,1,政府机构,其他,
MOOC,MOOC,439,631,2,其他,其他,
安徽大学学报哲学社会科学版,安徽大学学报哲学社会科学版,303,494,2,高校/学术机构,学术研究,学术研究
新传学苑,新传学苑,724,2497,2,其他,其他,
西宁纪检监察,西宁纪检监察,299,312,1,政府机构,党建理论,
第一哲学家,第一哲学家,392,414,2,其他,学术研究,学术研究
广州机关建设,广州机关建设,277,282,1,政府机构,地方政务,
北京大学法学院图书馆,北京大学法学院图书馆,691,2900,2,高校/学术机构,学术研究,学术研究
案例中国,案例中国,337,627,2,其他,其他,
天下成均,天下成均,247,247,7,其他,其他,
马理论学术界,马理论学术界,438,1217,2,高校/学术机构,学术研究,学术研究
农工党保定市委,农工党保定市委,278,281,3,政府机构,地方政务,
爱传播新传保研,爱传播新传保研,318,461,2,其他,其他,文化传播
国家文物局,国家文物局,280,281,3,政府机构,传统文化,政务服务
走进孔子杂志,走进孔子杂志,246,247,7,媒体平台,其他,
健促中国,健促中国,380,405,8,其他,其他,
南充环保,南充环保,289,294,1,其他,地方政务,
白山发布,白山发布,375,381,1,政府机构,地方政务,
中国计划生育协会,中国计划生育协会,296,302,8,其他,其他,
青年记者杂志,青年记者杂志,548,1332,2,媒体平台,党建理论,
云南依法治省,云南依法治省,486,584,1,其他,地方政务,
北京大学视觉与图像研究中心,北京大学视觉与图像研究中心,304,412,2,高校/学术机构,学术研究,学术研究
浙江大学公共管理学院,浙江大学公共管理学院,321,328,1,高校/学术机构,学术研究,
UNWSF,UNWSF,258,260,7,其他,其他,
政道遴选,政道遴选,324,337,1,其他,其他,
甘肃老干部,甘肃老干部,285,288,1,其他,党建理论,
中国证券报,中国证券报,323,327,8,媒体平台,社会民生,
政知见,政知见,300,303,2,其他,其他,
北京组工,北京组工,265,271,1,其他,地方政务,
厦门大学学报哲社版,厦门大学学报哲社版,321,419,1,高校/学术机构,学术研究,学术研究
大理民族宗教,大理民族宗教,327,346,1,其他,其他,
历史与秩序,历史与秩序,367,405,2,其他,其他,
成县索池发布,成县索池发布,267,268,1,政府机构,其他,
平顶山学院,平顶山学院,248,302,1,高校/学术机构,学术研究,
北大中文分馆,北大中文分馆,620,2216,2,其他,其他,
长春政事儿,长春政事儿,278,279,1,其他,地方政务,
锐科技,锐科技,354,376,1,其他,其他,
河北中心智库,河北中心智库,298,305,1,其他,学术研究,
苏州大学城镇化中心,苏州大学城镇化中心,260,274,1,高校/学术机构,学术研究,
红色通信,红色通信,274,285,1,其他,党建理论,
速刊论文发表,速刊论文发表,547,1108,2,媒体平台,学术研究,
济南市司法局,济南市司法局,394,470,1,政府机构,地方政务,政务服务
平谷组工,平谷组工,340,347,1,其他,其他,
横渠书院,横渠书院,243,246,7,其他,传统文化,
江苏人大发布,江苏人大发布,292,303,1,政府机构,地方政务,
龙江旅投,龙江旅投,305,305,1,其他,其他,
天下文明一个多元而一体的世界,天下文明一个多元而一体的世界,240,240,7,其他,文旅国资,
东方烟草报,东方烟草报,294,303,1,媒体平台,社会民生,
传媒学术网,传媒学术网,597,1681,2,高校/学术机构,学术研究,学术研究
四川省社会科学院,四川省社会科学院,285,329,1,高校/学术机构,学术研究,学术研究
法律史评论,法律史评论,445,1614,2,自媒体/个人,其他,
吉林宗教文化,吉林宗教文化,310,314,1,其他,传统文化,文化传播
国关国政外交学人,国关国政外交学人,620,1039,2,高校/学术机构,其他,
海峡文摘,海峡文摘,285,287,8,其他,其他,资源整合
秩序与话语,秩序与话语,287,305,1,其他,其他,
海蓝蓝双相情感工作室,海蓝蓝双相情感工作室,252,252,7,自媒体/个人,其他,
中国科学技术发展战略研究院,中国科学技术发展战略研究院,360,381,1,高校/学术机构,学术研究,学术研究
中共黄石市委党校,中共黄石市委党校,259,261,1,政府机构,地方政务,
广东南方职业学院,广东南方职业学院,282,299,1,高校/学术机构,学术研究,
恩施民盟,恩施民盟,282,299,1,其他,其他,
陕西市场监管,陕西市场监管,282,299,1,其他,地方政务,
清廉浙江,清廉浙江,325,342,1,政府机构,党建理论,
中国国防报,中国国防报,290,296,5,媒体平台,社会民生,
英语写作教学与研究,英语写作教学与研究,414,691,2,高校/学术机构,学术研究,学术研究
张载祠,张载祠,240,240,7,其他,其他,
新疆大学,新疆大学,264,269,1,高校/学术机构,学术研究,
文明兰坪,文明兰坪,241,298,1,其他,文旅国资,
华南师大紫荆青年,华南师大紫荆青年,283,290,1,其他,党建理论,
青春湖北,青春湖北,283,290,1,其他,地方政务,
江苏科技,江苏科技,350,384,1,其他,地方政务,
云南社会科学,云南社会科学,280,360,1,高校/学术机构,地方政务,学术研究
南谯区人民政府发布,南谯区人民政府发布,329,360,1,政府机构,其他,
西宁特钢集团,西宁特钢集团,253,255,1,其他,地方政务,
陕西政协,陕西政协,291,296,8,政府机构,地方政务,
静学苑,静学苑,244,244,7,其他,其他,
教学与科研资料库,教学与科研资料库,255,263,1,其他,学术研究,
粤理论,粤理论,263,275,1,其他,党建理论,
方的资源花园,方的资源花园,240,240,7,其他,其他,资源整合
内蒙古青年,内蒙古青年,350,358,1,其他,党建理论,
绥滨宣传,绥滨宣传,304,390,1,其他,党建理论,
额济纳旗水务局,额济纳旗水务局,276,278,1,政府机构,其他,政务服务
研大神新传考研,研大神新传考研,296,373,2,其他,学术研究,教育
志丹宣传,志丹宣传,305,310,1,其他,党建理论,
福建人大,福建人大,282,286,1,政府机构,地方政务,
中国驻俄罗斯大使馆,中国驻俄罗斯大使馆,312,317,8,其他,其他,
北京铁警发布,北京铁警发布,464,477,1,政府机构,地方政务,
微递鼓楼,微递鼓楼,290,293,1,其他,其他,
新华日报,新华日报,307,315,8,媒体平台,社会民生,
贵州师范学院,贵州师范学院,264,264,3,高校/学术机构,学术研究,
化隆宣传,化隆宣传,312,315,3,其他,党建理论,
中央广电总台中国之声,中央广电总台中国之声,325,325,1,政府机构,地方政务,
六品轩,六品轩,418,429,2,其他,其他,
中国警察网,中国警察网,275,277,1,媒体平台,其他,
西安政协,西安政协,354,359,1,政府机构,地方政务,
复兴机关党建,复兴机关党建,271,275,1,政府机构,党建理论,
理论探讨编辑部,理论探讨编辑部,316,341,1,其他,党建理论,
华政中外法律文献中心,华政中外法律文献中心,508,1143,2,其他,其他,
上海教育,上海教育,269,274,8,其他,基础教育,教育
政治哲学研究,政治哲学研究,306,333,2,高校/学术机构,学术研究,学术研究
云中绿荷,云中绿荷,237,237,7,其他,其他,
水木融,水木融,238,240,7,其他,其他,
河北经贸大学学报编辑部,河北经贸大学学报编辑部,265,272,1,高校/学术机构,学术研究,学术研究
廉洁东莞,廉洁东莞,282,291,1,其他,地方政务,
莫尔格勒,莫尔格勒,288,288,1,其他,其他,
醉美克什克腾,醉美克什克腾,359,363,1,其他,其他,
甲骨书院,甲骨书院,259,259,7,其他,传统文化,
清廉绍兴,清廉绍兴,254,258,1,政府机构,党建理论,
望谟县人民政府王母街道办事处,望谟县人民政府王母街道办事处,273,274,1,政府机构,社会民生,政务服务
微风读书会,微风读书会,238,238,7,其他,其他,
陕西省关学文化促进会,陕西省关学文化促进会,235,235,7,其他,传统文化,文化传播
镇江交通集团,镇江交通集团,246,248,1,其他,社会民生,
宜宾信访,宜宾信访,279,281,1,其他,地方政务,
青海戒毒,青海戒毒,257,258,1,其他,地方政务,
马老师语文,马老师语文,237,237,7,其他,基础教育,
北大光华高层管理教育,北大光华高层管理教育,235,235,7,其他,基础教育,教育
UU国漫,UU国漫,235,235,7,其他,其他,
诗词古文,诗词古文,235,235,7,其他,传统文化,
武川检察,武川检察,235,235,7,其他,其他,
中国涅槃文化研究院,中国涅槃文化研究院,235,235,7,高校/学术机构,学术研究,学术研究
故宫博物院,故宫博物院,235,235,7,其他,其他,
乾坤坎离,乾坤坎离,235,235,7,其他,其他,
聂成华,聂成华,235,235,7,其他,其他,
西凤深圳专卖店,西凤深圳专卖店,235,235,7,其他,地方政务,
22号公馆,22号公馆,235,235,7,其他,其他,
人脉工具网,人脉工具网,235,235,7,媒体平台,其他,
新郑发布,新郑发布,235,235,7,政府机构,其他,
仙游组工,仙游组工,235,235,7,其他,其他,
定州商务,定州商务,235,235,7,其他,其他,
石头心语,石头心语,235,235,7,其他,其他,
王玉兴书友会,王玉兴书友会,235,235,7,其他,其他,
今日中铝,今日中铝,235,235,7,其他,其他,
古典诗文赏析,古典诗文赏析,235,235,7,其他,传统文化,文化传播
网信宝鸡,网信宝鸡,235,235,7,媒体平台,地方政务,
鄂城融媒,鄂城融媒,235,235,7,其他,其他,
经典沐心,经典沐心,235,235,7,其他,传统文化,
追寻先贤足迹,追寻先贤足迹,235,235,7,其他,其他,
知书达食,知书达食,235,235,7,其他,其他,
北京光中文教馆,北京光中文教馆,235,235,7,其他,地方政务,
伊金霍洛旗纪检监察,伊金霍洛旗纪检监察,235,235,7,政府机构,党建理论,
易家讲坛,易家讲坛,235,235,7,其他,其他,
真友文化,真友文化,235,235,7,其他,传统文化,文化传播
易谦文化,易谦文化,235,235,7,其他,传统文化,文化传播
浙江中医药大学,浙江中医药大学,235,235,7,高校/学术机构,学术研究,
Katrina卡翠娜学吧,Katrina卡翠娜学吧,235,235,7,其他,其他,
传统文化复兴第一线,传统文化复兴第一线,235,235,7,其他,传统文化,文化传播
寿康宝鉴,寿康宝鉴,235,235,7,其他,其他,
作文便签,作文便签,235,235,7,其他,基础教育,
讲给孩子的文学史,讲给孩子的文学史,235,235,7,其他,学术研究,
中道文化-天智任见国,中道文化-天智任见国,235,235,7,其他,传统文化,文化传播
青春儒学,青春儒学,235,235,7,其他,传统文化,文化传播
自然道德,自然道德,235,235,7,其他,其他,
